what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1304154861924
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1304154861925
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1304154861928
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1304154861929
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1304154861929
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1304154861931
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1304154861932
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1304154861933
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1304154861934
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1304154861934
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1304154861935
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1304154861936
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1304154861940
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1304154861961
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1304154861962
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1304154861963
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1304154861966
os,sysinfo,,,"linux",1304154861972
arch,sysinfo,,,"x86",1304154861972
ws,sysinfo,,,"gtk",1304154861972
locale,sysinfo,,,"en_IN",1304154861972
processors,sysinfo,,,"2",1304154861986
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1304154861986
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1304154861986
java.specification.name,sysinfo,,,"Java Platform API Specification",1304154861986
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304154861986
java.specification.version,sysinfo,,,"1.6",1304154861986
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1304154861986
java.version,sysinfo,,,"1.6.0_24",1304154861986
java.vm.info,sysinfo,,,"mixed mode, sharing",1304154861986
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1304154861986
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1304154861986
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304154861986
java.vm.specification.version,sysinfo,,,"1.0",1304154861986
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1304154861986
java.vm.version,sysinfo,,,"19.1-b02",1304154861986
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1304154862036
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1304154862135
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1304154862303
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1304154862332
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1304154862350
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1304154862532
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1304154862539
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1304154906829
